id,shorthand,title,artist,side,bpm
45,moonheart,Moonheart,"翡乃イスカ",light,180
46,genesis,Genesis,Iris,conflict,132
47,harutopia,"Harutopia ~Utopia of Spring~",A-zu-ra,light,185
48,auxesia,Auxesia,ginkiha,light,183
49,rabbitintheblackroom,"Rabbit In The Black Room","Rabbit House",conflict,270
50,modelista,Modelista,"HiTECH NINJA",light,165
51,soundwitch,SOUNDWiTCH,HATE,conflict,170
52,trappola,"trappola bewitching",gmtn.,conflict,190
53,iconoclast,Iconoclast,Yamajet,conflict,140
54,conflict,conflict,"siromaru + cranky",conflict,160
55,axiumcrisis,"Axium Crisis",ak+q,conflict,170
56,grievouslady,"Grievous Lady","Team Grimoire vs Laur",conflict,210
57,dreaminattraction,"Dreamin' Attraction!!","翡乃イスカ",light,205
58,redandblue,"Red and Blue",Silentroom,conflict,150
59,onelastdrive,"One Last Drive",REDSHiFT,light,"154 - 175"
60,surrender,Surrender,void,light,152
61,yozakurafubuki,"Yosakura Fubuki",A.SAKA,light,172
62,cyanine,cyanine,jioyi,conflict,182
63,dreamgoeson,"Dream goes on","Tiny Minim",light,174
64,journey,Journey,ARForest,light,200
65,specta,Specta,Junk,light,179
66,quon,Quon,Feryquitous,light,189
67,syro,Syro,Mitomoro,light,178
68,reinvent,Reinvent,"Sound Souler",light,174
69,silentrush,"Silent Rush",Soleily,conflict,158
70,singularity,Singularity,ETIA.,conflict,175
71,memoryforest,"Memory Forest",ETIA.,light,178
72,strongholds,Strongholds,Yooh,conflict,105
73,nexttoyou,"next to you","uma feat. 橘花音",light,165
74,metallicpunisher,"Metallic Punisher","INNOCENT NOIZE",conflict,165
75,blaster,Blaster,"Massive New Krew",conflict,180
76,guardina,"γuarδina",Aoi,light,202
77,carminescythe,carmine:scythe,"かゆき",conflict,165
78,bethere,"Be There",PSYQUI,light,164
79,cyberneciacatharsis,"Cybernecia Catharsis",Tanchiky,conflict,184
80,callmyname,"Call My Name feat. Yukacco",Mameyudoufu,light,175
81,inkarusi,inkar-usi,DIA,light,102
82,mazenine,"Maze No.9","アリスシャッハと魔法の楽団",light,159
83,themessage,"The Message","Jun Kuroda",light,202
84,sulfur,Sulfur,"ぺのれり",light,182
85,halcyon,Halcyon,xi,light,191
86,etherstrike,"Ether Strike","Akira Complex",light,156
87,fractureray,"Fracture Ray",Sakuzyo,light,200
88,suomi,Suomi,Aire,light,125
89,bookmaker,"Bookmaker (2D Version)",Kobaryo,conflict,175
90,darakunosono,"Illegal Paradise","gmtn. (witch's slave)",conflict,168
91,dropdead,dropdead,Frums,conflict,50
92,fallensquare,Fallensquare,Silentroom,conflict,99
93,nhelv,Nhelv,Silentroom,conflict,174.59
94,espebranch,"LunarOrbit -believe in the Espebranch road-","Apo11o program ft. 大瀬良あい",conflict,192
95,purgatorium,Purgatorium,"お月さま交響曲",conflict,150
96,hikari,Hikari,THB,conflict,130
97,stager,"STAGER (ALL STAGE CLEAR)",Ras,light,145
98,hallofmirrors,"Hall of Mirrors",Sta,conflict,147
99,linearaccelerator,"Linear Accelerator","THE SHAFT",light,"200 - 211.9"
100,tiferet,Tiferet,"xi + Sta",conflict,140?
101,alexandrite,Alexandrite,WAiKURO,conflict,146
102,rugie,Rugie,"Feryquitous feat.Sennzai",conflict,191
103,astraltale,"Astral tale",Noah,conflict,134
104,phantasia,Phantasia,Yunosuke,light,153
105,empireofwinter,"Empire of Winter",Street,light,175
106,merlin,MERLIN,REDALiCE,light,180
107,dxfullmetal,"DX Choseinou Full Metal Shojo","IOSYS TRAX (uno with.ちよこ)",light,160
108,omakeno,"OMAKENO Stroke",t+pazolite,conflict,240
109,scarletlance,"Scarlet Lance","MASAKI (ZUNTATA)",light,185
110,ouroboros,"ouroboros -twin stroke of the end-","Cranky VS MASAKI",conflict,188
111,libertas,Libertas,Zekk,light,160
112,solitarydream,"Solitary Dream","ak+q feat. Sennzai",light,162
113,antithese,Antithese,Blacklolita,conflict,172
114,corruption,Corruption,3R2,conflict,170
115,blackterritory,"Black Territory","DJ Myosuke",conflict,200
116,viciousheroism,"Vicious Heroism",Kobaryo,conflict,256
117,cyaegha,Cyaegha,USAO,conflict,200
118,revixy,ReviXy,ikaruga_nex,conflict,115-185
119,grimheart,Grimheart,Puru,light,170
120,vector,"VECTOЯ",WHITEFISTS,conflict,200
121,supernova,SUPERNOVA,BACO,conflict,150
122,dottodot,"Dot to Dot feat. shully",Mameyudoufu,light,174
123,garakuta,"Garakuta Doll Play",t+pazolite,conflict,256
124,ikazuchi,Ikazuchi,"光吉猛修",conflict,200
125,worldvanquisher,"World Vanquisher","void (Mournfinale)",light,170
126,dreadnought,Dreadnought,"Mastermind (xi + nora2r)",conflict,96-384
128,vindication,Vindication,Laur,light,174
129,heavensdoor,Heavensdoor,LeaF,conflict,240
130,ringedgenesis,"Ringed Genesis",Edelritter,light,160
131,chelsea,Chelsea,7mai,light,174
132,aiueoon,AI[UE]OON,MYUKKE.,light,145
133,melodyoflove,"A Wandering Melody of Love","からとPαnchii少年 feat.はるの",light,165
134,tiemedowngently,"Tie me down gently","溝口ゆうま feat. 大瀬良あい",conflict,191
135,valhallazero,Valhalla:0,Juggernaut.,conflict,200
136,mirzam,Mirzam,"Aoi vs. siqlo",conflict,201
137,diode,Diode,Kolaa,light,132
138,freefall,FREEF4LL,YUKIYANAGI,conflict,170
139,gloryroad,"GLORY：ROAD","uma vs. モリモリあつし",light,250
140,monochromeprincess,"Monochrome Princess",polysha,conflict,160
141,heavenlycaress,"Heavenly caress",Noah,light,241
142,senkyou,Senkyou,MYTK,light,90
143,filament,Filament,Puru,light,170
144,avantraze,"Avant Raze","Sampling Masters MEGA",conflict,200
145,battlenoone,"BATTLE NO.1","TANO*C Sound Team",conflict,200
146,laqryma,"La'qryma of the Wasteland","DJ Noriken",conflict,168
147,einherjar,"Einherjar Joker","DJ Genki vs Gram",conflict,222
148,izana,IZANA,"t+pazolite vs P*Light",light,222
149,saikyostronger,"SAIKYO STRONGER","REDALiCE vs USAO",conflict,205
150,worldexecuteme,world.execute(me);,Mili,light,130
151,blrink,BLRINK,Sta,conflict,115
152,oblivia,Oblivia,Saiph,light,180
153,amygdata,amygdata,nitro,conflict,154
154,corpssansorganes,corps-sans-organes,cybermiso,conflict,105
155,equilibrium,Equilibrium,Maozon,light,180
156,antagonism,Antagonism,"Yooh vs. siromaru",conflict,160
157,lostdesire,"Lost Desire","Powerless feat. Sennzai",conflict,170
158,dantalion,Dantalion,"Team Grimoire",conflict,186
159,ifi,#1f1e33,"かめりあ(EDP)",conflict,181
160,tempestissimo,Tempestissimo,t+pazolite,conflict,231
161,arcahv,Arcahv,Feryquitous,light,191
162,altale,Altale,Sakuzyo,light,83-90
163,givemeanightmare,"Give Me a Nightmare","アリスシャッハと魔法の楽団",conflict,95-190
164,blacklotus,"Black Lotus",wa.,conflict,200
165,gekka,"Gekka (Short Version)",Nhato,light,132
166,vividtheory,"Vivid Theory",ak+q,light,178
167,onefr,"1F√",WHITEFISTS,light,130
168,scarletcage,"Scarlet Cage","Daisuke Kurosawa",conflict,166
169,faintlight,"Faint Light (Arcaea Edit)",Taishi,light,133
170,feelssoright,"Feels So Right feat. Renko",Mysteka,light,180
171,teriqma,Teriqma,"owl＊tree",conflict,128
172,mahoroba,MAHOROBA,Zekk,light,195
173,badtek,BADTEK,EBIMAYO,conflict,190
174,maliciousmischance,"Malicious Mischance",s-don,conflict,155
175,gothiveofra,"Got hive of Ra",E.G.G.,light,268
176,buchigireberserker,"BUCHiGiRE Berserker","REDALiCE vs MASAKI",conflict,200
177,galaxyfriends,"Galaxy Friends",Kobaryo,conflict,300
178,crossover,"CROSS†OVER","HyuN feat. LyuU",conflict,200
179,xeraphinite,Xeraphinite,BlackY,light,146
180,lapis,Lapis,SHIKI,light,146
181,xanatos,Xanatos,Tatsh,conflict,170
182,purpleverse,"Purple Verse",Hommarju,conflict,170
183,alicealamode,"Alice à la mode","Masanori Akita",light,80-134
184,eccentrictale,"Eccentric Tale",Yamajet,conflict,132
185,alicessuitcase,"Alice's Suitcase",Endorfin.,light,190
186,jump,Jump,"Rasmus Faber",light,133
187,felis,Felis,M2U,light,155
188,besideyou,"Beside You","江口孝宏",light,181
189,heartjackin,"Heart Jackin'",Yu_Asahina,light,160
190,toaliceliddell,"To: Alice Liddell","モリモリあつし",conflict,222
191,lazyaddiction,"Lazy Addiction",sky_delta,light,185
192,dazzlehop,"Dazzle hop","Sampling Masters MEGA",conflict,220
193,viyellastears,"Viyella's Tears",Laur,conflict,218
194,omegafour,"ω4","穴山大輔 VS 光吉猛修 VS Kai",light,71-192
195,aprilshowers,"April showers",cubesato,light,79
196,seventhsense,7thSense,"削除",conflict,150
197,oshamascramble,"Oshama Scramble!",t+pazolite,light,190
198,amazingmightyyyy,"AMAZING MIGHTYYYY!!!!",WAiKURO,conflict,185
199,climax,Climax,USAO,conflict,190
200,lastcelebration,"Last Celebration","Laur vs CK",conflict,238
201,gou,"Misdeed -la bonté de Dieu et l'origine du mal-","光吉猛修 VS 穴山大輔",light,190
202,glow,Glow,SPACELECTRO,conflict,165
203,attraqtia,AttraqtiA,"かめりあ",light,202
204,enchantedlove,"enchanted love","linear ring",light,95
205,take,Bamboo,"立秋 feat.ちょこ",light,5-315
206,gimmedablood,"GIMME DA BLOOD",C-Show,conflict,87-110
207,bassline,"Can I Friend You on Bassbook? Lol","かめりあ feat. ななひら",light,128
208,lifeispiano,"Life is PIANO",Junk,light,133
209,paperwitch,"Paper Witch",Yu-dachi,light,130
210,crystalgravity,"Crystal Gravity","Tanchiky vs. siromaru",conflict,178
211,farawaylight,"Far Away Light","technoplanet feat. はるの & 黒沢ダイスケ",light,180-216
212,loschen,"Löschen","BlackY feat. Risa Yuzuki",conflict,181
213,aegleseeker,Aegleseeker,"Silentroom vs Frums",light,234
214,coastalhighway,"Coastal Highway","Glitch Droids",light,110
215,odysseia,"ΟΔΥΣΣΕΙΑ","Sober Bear",conflict,174
216,overwhelm,Overwhelm,xi,light,200
217,vandalism,Vandalism,Ashrount,conflict,194
218,turbocharger,Turbocharger,A/I,light,128-170
219,theultimacy,"THE ULTIMACY","aran vs Massive New Krew",conflict,200
220,rekkaresonance,"REKKA RESONANCE","REDALiCE vs Kobaryo",light,240
221,kyogenkigo,"False Embellishment","影虎。 & ikaruga_nex",conflict,155
222,hivemind,HIVEMIND,"かたぎり",conflict,252
223,seclusion,Seclusion,"Laur feat. Sennzai",conflict,175
224,smallcloud,"Small Cloud Sugar Candy","テヅカ x Aoi feat.桃雛なの",light,220
225,alterale,AlterAle,"Arik Kau Delay (アラ＆かゆき＆でり）",light,220-245
226,divinelight,"Divine Light of Myriad",yoho,light,172
227,mazymetroplex,"Mazy Metroplex",aran,light,155
228,quonwacca,Quon,"DJ Noriken",conflict,170
229,withu,"with U","t+pazolite & Massive New Krew feat. リリィ(CV:青木志貴)",light,155
230,genocider,GENOCIDER,"DJ Myosuke",conflict,250-390
231,letyoudivermx,"Let you DIVE! (nitro rmx)","nitro (lowiro)",light,185
232,sheriruthrmx,"Sheriruth (Laur Remix)",Laur,conflict,200
233,eveninginscarlet,"Evening in Scarlet","Freezer feat.妃苺",conflict,170
234,bluecomet,"blue comet","ああああ",light,100-172
235,energysynergymatrix,"ENERGY SYNERGY MATRIX",Tanchiky,conflict,160
236,gengaozo,"G e n g a o z o",-45,conflict,153
237,goldenslaughterer,goldenslaughterer,zts,conflict,133
238,lastendconductor,lastendconductor,zts,conflict,139
239,redolentshape,"Redolent Shape",Sanaas,conflict,150
240,cosmica,Cosmica,Nhato,conflict,110
241,ascent,Ascent,TANUKI,light,145
242,livefastdieyoung,"Live Fast Die Young",anubasu-anubasu,light,153
243,summerfireworks,"Summer Fireworks of Love","karatoPαnchii feat.はるの",light,160
244,firstsnow,"First Snow","黒魔",light,88
245,bluerose,"Blue Rose",Cosmograph,light,250-295
246,blockedlibrary,"Blocked Library","影虎。",conflict,148
247,neokosmo,"nέο κόsmo","ak+q × Street",conflict,190
248,lightningscrew,"Lightning Screw","HiTECH NINJA",light,190
249,lightsofmuse,"Lights of Muse",Ayatsugu_Otowa,light,180
250,finalstep,"Final Step!",Lime,conflict,180
251,akinokagerou,"Haze of Autumn","karatoPαnchii feat.はるの",light,180
252,medusa,Medusa,"HiTECH NINJA",conflict,165
253,init,init(),"kamome sano",conflict,180
254,internetoverdose,"INTERNET OVERDOSE","Aiobahn feat. KOTOKO",light,163
255,sakurafubuki,"Sakura Fubuki",Street,light,175
256,nulctrl,NULCTRL,Silentroom,conflict,100
257,macromod,"Macrocosmic Modulation",JAKAZiD,light,170
258,neowings,"NEO WINGS","SOUND HOLIC feat. Nana Takahashi",conflict,168
259,kissinglucifer,"Kissing Lucifer",ETIA.,conflict,170
260,avril,"Ävril -Flicka i krans-","Rigël Theatre",light,130
261,aurgelmir,Aurgelmir,"溝口ゆうま feat. 大瀬良あい",conflict,122-230
262,headbonkache,"Head BONK ache","saaa ft. MC iwata Bros.",conflict,132-165
263,ddd,DDD,"はがね",light,138
264,prism,Prism,"bermei.inazawa ft. Chata",light,107-109
265,protoflicker,Protoflicker,Silentroom,conflict,140
266,stasis,Stasis,Maozon,light,180
267,picopicotranslation,PICO-Pico-Translation!,"t+pazolite,ななひら,Cranky,Pico*",conflict,185
268,nekonote,"Dancin' on a Cat's Paw",Ino(chronoize),light,148
269,mu,"μ",Frums,light,140-190
270,sanskia,"san skia","ユアミトス",light,170
271,altair,"Altair (feat. *spiLa*)","kamome sano & you",light,170
272,mukishitsu,"Redraw the Colorless World",MisomyL,light,155
273,trapcrow,"Trap Crow",Puru,conflict,80
274,pupa,PUPA,"モリモリあつし",conflict,202
275,defection,Defection,"TeddyLoid feat. DELTA",light,160
276,infinitestrife,"Infinite Strife,","BlackYooh vs. siromaru",conflict,198
277,worldender,"World Ender","sasakure.UK × TJ.hangneil",light,190-280
278,pentiment,Pentiment,"Nothing But Requiem with Museo",conflict,200-222
279,arcanaeden,"Arcana Eden","Team Grimoire vs Sakuzyo vs Laur",conflict,211
280,testify,Testify,"void (Mournfinale) feat. 星熊南巫",silent,178
281,lovelessdress,"Loveless Dress","かねこちはる",silent,99
282,last,Last,onoken,silent,175
283,lasteternity,"Last | Eternity",onoken,silent,175
284,callimakarma,"Callima Karma","t+pazolite vs Feryquitous",silent,95
285,kokoro,Heart,"削除 (Violin : Katali)",light,80
286,aidrew,"Ai Drew",Feryquitous,conflict,175
287,fluffyflash,"FLUFFY FLASH",Kobaryo,light,252
288,goodbyemerry,"Good bye, Merry-Go-Round.",Yooh,conflict,185
289,lamia,LAMIA,BlackY,conflict,199
290,freemyself,"Free Myself","lapix feat. mami",light,153
291,cocorocosmetic,cocoro*cosmetic,KOTONOHOUSE,light,144
292,capella,Capella,ARForest,light,210
293,dialnote,Dialnote,"七草くりむ",light,130
294,tsukinimurakumo,"Tsuki ni Murakumo, Hana ni Kaze","幽閉サテライト",conflict,160
295,mantis,"MANTIS (Arcaea Ultra-Bloodrush VIP)","Akira Complex feat. kiraku",conflict,135
296,worldfragments,"World Fragments III(radio edit)",xi,light,200
297,astrawalkthrough,"Astra walkthrough",paraoka,conflict,225
298,chronicle,Chronicle,Lime,light,221
299,nullapophenia,"NULL APOPHENIA","N²",conflict,177
300,crimsonthrone,"Crimson Throne","Dimier√Lisb",conflict,210
301,manicjeer,"Manic Jeer","ルゼ",conflict,195
302,hiirogekka,"Hiiro Gekka, Kyoushou no Zetsu (nayuta 2017 ver.)","nayuta x 黒鳥(EastNewSound)",conflict,150
303,letsrock,"Let's Rock (Arcaea mix)","ikaruga_nex vs FALCHiON",conflict,210
304,cycles,CYCLES,"Masayoshi Minoshima feat. 綾倉盟",light,135
305,maxrage,MAXRAGE,EBIMAYO,conflict,222
306,infinity,[X],Blacklolita,conflict,162-180
307,temptation,TEmPTaTiON,"かねこちはる",light,160
308,primitivelights,"PRIMITIVE LIGHTS",TAG,light,205
309,cosmopop,"Cosmo Pop Funclub","ナユタン星人",light,129
310,impact,IMPACT,"USAO feat. 光吉猛修",light,210
311,genesischunithm,Genesis,"Morrigan feat.Lily",conflict,150
312,trrricksters,Trrricksters!!,"s-don vs. 翡乃イスカ",conflict,155
313,spidersthread,"Spider's Thread","きくお×cosMo＠暴走P feat.影縫英",conflict,180
314,lostemotion,"Lost Emotion feat. nomico","Masayoshi Minoshima(ALR)",light,172
315,gimmick,GIMMICK,Ms.Sill,conflict,143
316,thesurvivor,"The Survivor (Game Edit)",Taishi,conflict,132
317,newyorkbackraise,"New York Back Raise","saaa + kei_iwata + stuv + わかどり",conflict,160
318,galacticlove,"Galactic Love","La prière",light,145
319,lawlesspoint,"Lawless Point","La prière",conflict,148
320,lostintheabyss,"Lost in the Abyss",FELT,conflict,183
321,hybris,"Hybris (The one who shattered)","qfeileadh feat.のあ",conflict,158
322,tothemilkyway,"To the Milky Way","黒魔",light,186
323,internetyamero,"INTERNET YAMERO","Aiobahn feat. KOTOKO",conflict,185
324,bulletwaiting,"Bullet Waiting for Me (James Landino remix)","Nikki Simmons",light,107
325,devillicsphere,"Devillic Sphere",3R2,conflict,160
326,lucidtraveler,"Lucid Traveler","Akira Complex vs 3R2",conflict,170-200
327,chaos,CHAOS,"Æsir",conflict,150
328,usedtobe,"Used to be","KIVΛ",light,140
329,ultimatetaste,"Ultimate taste","ぱらどっと",light,200
330,syuten,"syūten","Apo11o""COLLAPSAR""program ft. 大瀬良あい",light,76-96
331,drg,DRG,onoken,light,155
332,nnglooms,"99 Glooms",Sta,conflict,185
333,ii," ͟͝͞Ⅱ́̕ ",Cytus,conflict,130-150
334,magnolia,Magnolia,"M2U Vocal by Guriri",light,160
335,sacrifice,"SACRIFICE feat. ayame","Masayoshi Minoshima(ALR)",conflict,180
336,rgb,RGB,"MEMODEMO X AQUASINE",light,163
337,waitfordawn,"WAIT FOR DAWN","U-ske feat. 棗いつき",light,188
338,ravenspride,"Raven's Pride","みーに feat. はらもりよしな",conflict,165
339,riseoftheworld,"Rise of the World","cosMo＠暴走P",light,182-212
340,unknownlevels,"UNKNOWN LEVELS","Yuta Imai",conflict,110-165
341,abstrusedilemma,"Abstruse Dilemma","Ashrount vs. 打打だいず",light,216
342,matenrou,"Kanjou no Matenrou ～Arr.Demetori",Demetori,conflict,178
343,tothefurthestdream,"To the Furthest Dream","ii/night feat. 綺良雪",silent,183
344,remindthesouls,"Remind the Souls (Short Version)",Nhato,light,130
345,dynitikos,"Dynitikós",Prower,conflict,180
346,amekagura,Amekagura,"荒谷サトル",light,105
347,bbkkbkk,B.B.K.K.B.K.K.,nora2r,conflict,170
348,primevaltexture,"Primeval Texture","くるぶっこちゃん",light,120
349,technicolour,Technicolour,Maozon,light,175
350,logos,Logos,"polysha feat. 高城みよ",conflict,189
351,egoeimi,"Ego Eimi","BlackY feat. Risa Yuzuki",conflict,178
352,arghena,Arghena,"Feryquitous vs Laur",conflict,185
353,fantasy,FANTA5Y,"Moon Jelly & YUKIYANAGI",light,170
354,transientspace,"Transient Space","sleepless, Gardens, aspect",conflict,115-132
355,namelesspassion,"Nameless Passion","天束 feat.Sennzai",conflict,200
356,teravolt,TeraVolt,Katali,conflict,154
357,stratoliner,Stratoliner,C-Show,conflict,175
358,ouverture,"Ouvertüre","USAO & DJ Genki feat. ルーン(CV:河瀬茉希)",conflict,200
359,xtreme,XTREME,USAO,conflict,205
360,edenwacca,eden,"""漆黒""の堕天使《Gram》†Versus†""聖刻""の熾天使《Gram》",conflict,246
361,metamysteria,Meta-Mysteria,"DJ Noriken",light,205
362,aloneandlorn,"Alone & Lorn","Ponchi♪ feat.はぁち",light,100
363,wishuponasnow,"Wish Upon a Snow","打打だいず",light,218
364,overdrive,"Kanbu de Tomatte Sugu Tokeru","ARM＋夕野ヨシミ (IOSYS) feat. miko",light,200
365,felys,"felys final remix",onoken,conflict,180
366,onandon,"On And On!! feat. Jenga",ETIA.,light,170
367,lightmyway,"LIVHT MY WΔY","かめりあ feat. STΔRLIVHT",conflict,190
368,hotarubinoyuki,"Hotarubi no Yuki",Endorfin.,light,159
369,theformula,"The Formula",Junk,light,144
370,lunarossa,"Luna Rossa",r0y,conflict,174
371,jingle,Jingle,"DJ Noriken",light,170
372,innocence,Innocence,"Powerless feat. Sennzai",light,190
373,ionostream,IONOSTREAM,Tatsh,conflict,220-254
374,alephzero,Aleph-0,LeaF,conflict,35-400
375,masqueradelegion,"Masquerade Legion","Srav3R & DJ Noriken",conflict,175
376,kyorenromance,"KYOREN ROMANCE","REDALiCE vs DJ Myosuke feat. DELUTAYA",conflict,205
377,qovat,Qovat,"owl＊tree",conflict,122
378,hellohell,HELLOHELL,"暁Records",conflict,155
379,ichirin,"〇、","Kolaa & 熊子",light,145
380,awakeninruins,"Awaken In Ruins",Supa7onyz,conflict,125
381,morningloom,MORNINGLOOM,saaa,light,102
382,lethalvoltage,"Lethal Voltage",siqlo,conflict,190
383,mirinae,MIRINAE,"TAK × Zekk",light,180
384,ultradiaxon,ultradiaxon-N3,"nitro (lowiro)",conflict,150
385,leaveallbehind,"Leave All Behind",rider,conflict,150
386,distortedfate,"Distorted Fate",Sakuzyo,conflict,150
387,floatingworld,"Floating World","baker feat. botan",light,174
388,chromafill,Chromafill,"ていぬ",light,179
389,desive,"Désive",MisomyL,light,180-230
390,epicurus,"Hidden Rainbows of Epicurus","SYNC.ART'S feat.Misato",light,155
391,tasogare,"Twilight Concerto",Scarlette,conflict,194
392,oldschoolsalvage,"Old School Salvage","DJ SHARPNEL",conflict,205
393,beautifuldreamer,"Beautiful Dreamer",M-Project,light,188
394,backtobasics,"Back to Basics",m1dy,conflict,420
395,stargateextreme,"STARGATE EXTREME",KARUT,conflict,150
396,signof,"Sign of ""10.5km""","渡部恭久",light,160
397,temptationgc,10pt8ion,"Lite Show Magic",conflict,128-185
398,blackmind,"Black MInD",COSIO,conflict,192
399,hypervision,"HYPER VISION",VOLTA,conflict,155
400,alterego,"ALTER EGO","Yuta Imai vs Qlarabelle",conflict,195
401,distortionhuman,"Distortion Human","DJ Myosuke & KAJI",conflict,200
402,shrink,shrink,"Shohei Tsuchiya(ZUNTATA)",light,180
403,invain,"In Vain",ryhki,conflict,165
404,hypnotize,Hypnotize,rejection,conflict,160
405,ashenboundary,"Ashen 6oundary",YUKIYANAGI,conflict,172
406,judgement,Judgement,Tatsunoshin,conflict,200
407,epitaxy,epitaxy,Camellia,light,183
408,waltzforlorelei,"Waltz for Lorelei","Sobrem & 庭師",light,220
409,dualdoom,"Dual Doom Deathmatch","Kobaryo vs HyuN",conflict,222
410,invertedworld,"Inverted World",ARForest,light,180
411,mvurbd,MVURBD,ETIA.,conflict,175
412,vulcanus,"Vulcānus","Team Grimoire vs Aoi",light,212
413,rainofconflict,"Rain of Conflict in a Radiant Abyss",ak+q,conflict,195
414,saintorsinner,"Saint or Sinner",crayvxn,conflict,164
415,hailstone,Hailstone,"Kazki Misora",light,180
416,furetemitai,FURETE-MITAI,"みきとP",light,155
417,gensounosatellite,"Gensou no Satellite","豚乙女",conflict,230
418,prayer,Prayer,"qfeileadh&レゾナンスもえこ",light,132
419,crimsonquartz,"Crimson Quartz","DiGiTAL WiNG with 空音",conflict,145
420,thirdsun,"Third Sun","Ash Astral",conflict,75-225
421,spiritdauntless,"Spirit of the Dauntless","KO3 & Relect",conflict,180
422,diesirae,"Dies irae","お月さま交響曲",conflict,172
423,astralexe,astral.exe,"Synzak & Laxeno57",light,174
424,liftoff,LiftOff,"MAYA AKAI",conflict,137
425,superambulance,"SUPER AMBULANCE",AJURIKA,light,200
426,dontfightmusic,"Don't Fight The Music","黒魔",conflict,190-200
427,andrevivemelody,"And Revive The Melody","黒魔",conflict,210-220
428,swansong,"Swan Song","void (Mournfinale)",lephon,148
429,renegade,Renegade,sky_delta,lephon,186
430,raysofremnant,"Rays of Remnant","May × Felysrator",lephon,200
431,breachoffaith,"Breach of Faith","Supire feat.eili",lephon,172
432,lamentrain,"Lament Rain","Ashrount vs. 打打だいず",lephon,200
433,designant,Designant.,Designant,lephon,200
434,astralquant,"Astral Quantization","Dj Grimoire",lephon,185
435,ignition,Ignition,"パソコン音楽クラブ",light,160
436,blazingair,"BlazinG AIR",kanone,light,150
437,eightem,8-EM,"Sampling Masters AYA",conflict,168
438,daat,"DA'AT -The First Seeker of Souls-","水野健治 VS 大国奏音",conflict,222
439,breakbreak,"BREaK! BREaK! BREaK!","HiTECH NINJA vs Cranky",conflict,165
440,straightintolights,"Straight into the lights",Cosmograph,conflict,90
441,virtus,ViRTUS,Hiro,light,225
442,yomibitoshirazu,yomibito_shirazu,"Limonène (サノカモメ+月島春果)",light,188
443,aethercrest,"Aether Crest: Astral","void (Mournfinale) × 水野健治",light,180
444,heartache,Heartache,"Toby Fox",light,239
445,deathbyglamour,"Death By Glamour","Toby Fox",light,148
446,yourbestnightmare,"Your Best Nightmare","Toby Fox",conflict,190
447,lastgoodbye,"Last Goodbye","Toby Fox",light,180
448,megalovania,MEGALOVANIA,"Toby Fox",conflict,240
449,megalovaniarmx,"MEGALOVANIA (Camellia Remix)",Camellia,conflict,242
450,placebobattler,"Placebo♥Battler","OSTER project",light,270
