Song,Artist,Pack,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Side,BPM,Version,Date,Version,Date,Original
Dream goes on,Tiny Minim,Lanota,k//eternal,PST 1,1.5,532,k//eternal,PRS 5,5.0,751,k//eternal,FTR 7+,7.8,719,N/A,,,,Light,174,1.5.5,18/2/1,N/A,,
Journey,ARForest,Lanota,Kurorak,PST 3,3.0,551,Kurorak,PRS 6,6.0,778,Kurorak,FTR 9,9.1,997,N/A,,,,Light,200,1.5.5,18/2/1,N/A,,
Quon,Feryquitous,Lanota,Nitro,PST 4,4.0,547,Nitro,PRS 6,6.5,718,Nitro,FTR 9,9.6,991,N/A,,,,Light,189,1.5.5,18/2/1,N/A,,✓
Specta,Junk,Lanota,Toaster,PST 3,3.5,390,Toaster,PRS 6,6.5,706,Toaster,FTR 9,9.5,"1,096",N/A,,,,Light,179,1.5.5,18/2/1,N/A,,
cyanine,jioyi,Lanota,夜浪 - Apocalypse,PST 4,4.0,661,夜浪,PRS 7+,7.8,947,夜浪,FTR 10,10.6,"1,171",N/A,,,,Conflict,182,1.5.5,18/2/1,N/A,,
Metallic Punisher,INNOCENT NOIZE,Memory Archive: Partner,Kurorak,PST 3,3.0,500,Kurorak,PRS 7,7.0,846,Black Tea,FTR 10,10.3,"1,238",N/A,,,,Conflict,165,1.5.6,18/2/16,N/A,,✓
Blaster,Massive New Krew,Arcaea,k//eternal,PST 4,4.0,571,k//urorak,PRS 7,7.0,635,k//urorak,FTR 9,9.3,"1,002",N/A,,,,Conflict,180,1.5.7,18/3/9,N/A,,✓
Silent Rush,Soleily,Binary Enfold,TaroNuke,PST 2,2.5,416,TaroNuke,PRS 5,5.0,674,TaroNuke,FTR 8,8.6,941,N/A,,,,Conflict,158,1.6.0,18/3/23,N/A,,✓
next to you,uma feat. 橘花音,Binary Enfold,Nitro,PST 4,4.5,454,Nitro,PRS 7,7.0,583,Nitro,FTR 8+,8.8,824,Toastie,BYD 9,9.6,954,Light,165,1.6.0,18/3/23,3.6.0,21/5/11,✓
Strongholds,Yooh,Binary Enfold,TaroNuke,PST 2,2.5,570,TaroNukeΔ,PRS 5,5.0,778,TΔroNuke,FTR 9,9.2,922,N/A,,,,Conflict,105,1.6.0,18/3/23,N/A,,✓
Memory Forest,ETIA.,Binary Enfold,Kurorak,PST 3,3.5,639,Kurorak,PRS 6,6.0,726,Kurorak,FTR 9+,9.8,978,N/A,,,,Light,178,1.6.0,18/3/23,N/A,,✓
Singularity,ETIA.,Binary Enfold,東星,PST 4,4.5,534,東星,PRS 7+,7.8,678,東星※コラプサー,FTR 10+,10.7,"1,105",N/A,,,,Conflict,175,1.6.0,18/3/23,N/A,,✓
Ignotus Afterburn,"Arcaea
Sound Team",Arcaea,N/A,,,,N/A,,,,"《WARNING》 TaroNuke vs
Arcaea Charting Team",FTR ?,0.0,"1,028",Toaster × 石樂,BYD 9+,9.9,"1,077",Conflict,170,1.6.1,18/4/1,3.12.2,22/3/9,✓
carmine:scythe,かゆき,Memory Archive: Partner,週刊Toaster,PST 4,4.0,493,週刊Toaster,PRS 7+,7.8,710,週刊Toaster,FTR 9,9.6,"1,164",N/A,,,,Conflict,165,1.6.2,18/4/29,N/A,,✓
γuarδina,Aoi,Memory Archive: Original,τoastεr,PST 4,4.0,507,τoastεr,PRS 8,8.0,678,τoastεr,FTR 10,10.4,"1,120",N/A,,,,Light,202,1.6.2,18/4/29,N/A,,✓
Cybernecia Catharsis,Tanchiky,Arcaea,Kero,PST 4,4.0,377,Kero,PRS 7,7.0,655,Kero + Nitro,FTR 9,9.5,946,antymis,BYD 9+,9.8,991,Conflict,184,1.6.4,18/6/1,5.3.0,24/1/25,✓
Be There,PSYQUI,Memory Archive: Original,Nitro,PST 4,4.0,592,Nitro,PRS 7,7.5,792,Be Nitro,FTR 9,9.4,982,N/A,,,,Light,164,1.6.4,18/6/1,N/A,,✓
inkar-usi,DIA,Arcaea,Kurorak,PST 2,2.0,276,Kurorak,PRS 4,4.0,326,Kurorak,FTR 7+,7.8,463,CERiNG,BYD 9,9.4,857,Light,102,1.6.6,18/6/22,5.3.0,24/1/25,✓
"Call My Name
feat. Yukacco",Mameyudoufu,Memory Archive: Variety,Kurorak,PST 3,3.5,591,Kurorak,PRS 6,6.0,653,Kuro My Nitro,FTR 8+,8.7,921,N/A,,,,Light,175,1.6.6,18/6/22,N/A,,
Maze No.9,アリスシャッハと魔法の楽団,Luminous Sky ,小東星,PST 3,3.0,494,小東星,PRS 3,3.5,445,小東星,FTR 8+,8.9,775,N/A,,,,Light,159,1.7.0,18/7/16,N/A,,✓
Sulfur,ぺのれり,Luminous Sky ,Shirorak,PST 4,4.0,458,Shirorak,PRS 6,6.0,608,Shirorak,FTR 9+,9.7,"1,045",N/A,,,,Light,182,1.7.0,18/7/16,N/A,,✓
The Message,Jun Kuroda,Luminous Sky ,Toaster,PST 3,3.0,536,Toaster,PRS 6,6.5,630,Toaster,FTR 9+,9.7,992,N/A,,,,Light,202,1.7.0,18/7/16,N/A,,✓
Halcyon,xi,Luminous Sky ,東星※太陽,PST 5,5.5,662,東星※太陽,PRS 8,8.2,943,東星※太陽,FTR 10+,10.7,"1,227",N/A,,,,Light,191,1.7.0,18/7/16,N/A,,
Ether Strike,Akira Complex,Luminous Sky ,Zero Sky,PST 5,5.5,659,Zero Sky,PRS 8,8.3,837,Zero Sky,FTR 10,10.3,"1,170",N/A,,,,Light,156,1.7.0,18/7/16,N/A,,✓
Fracture Ray,Sakuzyo,Luminous Sky ,Volatile Paradox,PST 6,6.0,983,Absolute Paradox,PRS 9,9.5,"1,343",Paradox Zero,FTR 11,11.3,"1,279",N/A,,,,Light,200,1.7.0,18/7/16,N/A,,✓
Suomi,Aire,Arcaea,Toastie,PST 2,2.0,368,Toastie,PRS 5,5.0,550,Toastie,FTR 7+,7.8,818,CERiNG,ETR 8+,8.9,732,Light,125,1.7.0,18/7/16,5.4.0,24/3/8,
"Bookmaker
(2D Version)",Kobaryo,Arcaea,Kurorak,PST 4,4.5,538,Kurorak,PRS 6,6.5,728,Kurorak,FTR 8,8.3,"1,124",Toastmaker,BYD 10,10.0,"1,287",Conflict,175,1.7.0,18/7/16,3.6.4,21/6/30,
Illegal Paradise,"gmtn.
(witch's slave)",Arcaea,k//eternal,PST 2,2.0,535,k//eternal,PRS 7,7.0,585,k//eternal + nitro,FTR 9,9.5,"1,061",N/A,,,,Conflict,168,1.7.0,18/7/16,N/A,,
Nhelv,Silentroom,Arcaea,"Nitro
「Katastrophe」",PST 3,3.0,647,"Nitro
「Katastrophe」",PRS 6,6.5,913,"Nitro
「Katastrophe」",FTR 9+,9.9,"1,108",N/A,,,,Conflict,174.59,1.7.2,18/8/13,N/A,,
dropdead,Frums,Memory Archive: Original,-chartaesthesia- LIMITER:10%,PST 1,1.5,44,-chartaesthesia- LIMITER:100%,PRS 9,9.5,"1,323",-chartaesthesia- LIMITER:25% (OVERDRIVE:+100%),FTR 8+,9.1,823,N/A,,,,Conflict,50,1.7.2,18/8/13,N/A,,✓
Fallensquare,Silentroom,Memory Archive: Original,Haruba,PST 3,3.0,316,Haruba,PRS 7,7.5,486,Haruba,FTR 9,9.6,703,N/A,,,,Conflict,99,1.7.2,18/8/13,N/A,,✓
LunarOrbit -believe in the Espebranch road-,Apo11o program feat. 大瀬良あい,Arcaea,月刊Toaster,PST 3,3.5,624,月刊Toaster,PRS 6,6.0,757,週刊Toaster,FTR 9,9.6,"1,058",N/A,,,,Conflict,192,1.7.4,18/8/31,N/A,,✓
Purgatorium,お月さま交響曲,Arcaea,Kurorak,PST 2,2.5,609,Kurorak,PRS 6,6.0,641,Kurorak,FTR 8,8.4,983,Toaster,BYD 9,9.6,"1,051",Conflict,150,1.7.5,18/9/17,3.1.0,20/8/21,✓
Alexandrite,WAiKURO,Memory Archive: Original,東星※空の宝石,PST 4,4.5,507,東星※空の宝石,PRS 7,7.5,699,東星※空の宝石,FTR 10,10.0,"1,040",N/A,,,,Conflict,146,1.7.5,18/9/17,N/A,,✓
Hall of Mirrors,Sta,Tone Sphere,Toaster,PST 3,3.0,535,Toaster,PRS 5,5.5,553,Toaster,FTR 8,8.2,898,N/A,,,,Conflict,147,1.8.0,18/10/7,N/A,,
Hikari,THB,Tone Sphere,OptoNuke,PST 2,2.5,237,OptoNuke,PRS 6,6.0,450,OptoNuke,FTR 8,8.1,684,N/A,,,,Conflict,130,1.8.0,18/10/7,N/A,,
STAGER (ALL STAGE CLEAR),Ras,Tone Sphere,KURORAK,PST 3,3.0,453,KURORAK,PRS 6,6.5,559,KURORAK,FTR 9,9.5,"1,004",N/A,,,,Light,145,1.8.0,18/10/7,N/A,,
Linear Accelerator,THE SHAFT,Tone Sphere,THE TOAST,PST 2,2.5,438,THE TOAST,PRS 6,6.5,488,THE TOAST,FTR 9+,9.8,905,N/A,,,,Light,"200-
211.9",1.8.0,18/10/7,N/A,,
Tiferet,xi + Sta,Tone Sphere,夜浪[Spherical],PST 4,4.5,450,夜浪[Spherical],PRS 7+,7.8,720,夜浪[Spherical],FTR 10,10.4,"1,086",N/A,,,,Conflict,140?,1.8.0,18/10/7,N/A,,
Rugie,"Feryquitous
feat. Sennzai",Arcaea,k//urorak,PST 3,3.0,566,k//urorak,PRS 6,6.0,754,k//urorak,FTR 9,9.2,975,N/A,,,,Conflict,191,1.8.1,18/11/8,N/A,,
Astral tale,Noah,Memory Archive: Original,Nitro,PST 4,4.5,445,Nitro,PRS 7,7.0,642,Nitro,FTR 9,9.6,884,N/A,,,,Conflict,134,1.8.1,18/11/8,N/A,,✓
Phantasia,Yunosuke,Memory Archive: Partner,Toaster,PST 4,4.0,544,Toaster,PRS 5,5.5,579,Toaster,FTR 9,9.2,952,N/A,,,,Light,153,1.8.2,18/11/29,N/A,,✓
Empire of Winter,Street,Memory Archive: Partner,0°Nitro,PST 3,3.5,484,0°Nitro,PRS 6,6.5,662,0°Nitro,FTR 9,9.0,920,N/A,,,,Light,175,1.8.3,18/12/22,N/A,,✓
MERLIN,REDALiCE,Groove Coaster,Got More Taro?,PST 3,3.0,315,Got More Taro?,PRS 5,5.5,428,Got More Taro?,FTR 8+,8.9,712,EXSCHWASiON,BYD 9,9.4,881,Light,180,1.9.0,19/1/9,3.12.4,22/3/23,
OMAKENO Stroke,t+pazolite,Groove Coaster,Kurorak,PST 3,3.0,502,Kurorak,PRS 6,6.5,616,Kurorak,FTR 9,9.5,869,NITRO,BYD 10,10.2,931,Conflict,240,1.9.0,19/1/9,3.12.4,22/3/23,
"DX Choseinou
Full Metal Shojo","IOSYS TRAX
(uno with ちよこ)",Groove Coaster,"DX譜面作者フルメ
タルNitro",PST 3,3.0,327,"DX譜面作者フルメ
タルNitro",PRS 6,6.0,556,"DX譜面作者フルメ
タルNitro",FTR 9+,9.8,808,N/A,,,,Light,160,1.9.0,19/1/9,N/A,,
Scarlet Lance,MASAKI (ZUNTATA),Groove Coaster,闇運,PST 4,4.0,517,闇運,PRS 7,7.0,644,闇運,FTR 10,10.1,"1,130",N/A,,,,Light,186,1.9.0,19/1/9,N/A,,
ouroboros -twin stroke of the end-,Cranky vs. MASAKI,Groove Coaster,Groove 東星,PST 4,4.5,575,Groove 東星,PRS 7,7.5,832,Groove 東星,FTR 10+,10.7,"1,369",N/A,,,,Conflict,188,1.9.0,19/1/9,N/A,,
Libertas,Zekk,Memory Archive: Original,Kurorak,PST 3,3.5,476,Kurorak,PRS 5,5.5,514,Kurorak + Nitro,FTR 9,9.2,947,Exschwasion -unbound-,BYD 10,10.5,"1,048",Light,160,1.9.2,19/2/11,5.3.0,24/1/25,✓
Solitary Dream,ak+q feat. Sennzai,Eternal Core,,PST 4,4.0,712,,PRS 7,7.0,854,,FTR 8+,8.8,972,N/A,,,,Light,162,1.9.3,19/3/9,N/A,,✓
Antithese,Blacklolita,Absolute Reason,chaos//engine,PST 2,2.0,845,chaos//engine,PRS 5,5.0,826,chaos//engine,FTR 8+,8.8,877,石樂,BYD 9,9.5,968,Conflict,172,2.0.0,19/3/21,3.10.0,21/12/9,✓
Black Territory,DJ Myosuke,Absolute Reason,NitroNukeδ,PST 3,3.0,627,NitroNukeδ,PRS 7,7.5,785,NitroNukeδ,FTR 9+,9.8,"1,195",N/A,,,,Conflict,200,2.0.0,19/3/21,N/A,,✓
Corruption,3R2,Absolute Reason,₸öα$†ε₹,PST 3,3.0,664,₸öα$†ε₹,PRS 6,6.5,847,₸öα$†ε₹,FTR 9+,9.8,"1,293",N/A,,,,Conflict,170,2.0.0,19/3/21,N/A,,✓
Vicious Heroism,Kobaryo,Absolute Reason,Nitro vanquish Toaster.,PST 4,4.0,430,Nitro vanquish Toaster.,PRS 7,7.5,756,Nitro vanquish Toaster.,FTR 10,10.0,"1,150",N/A,,,,Conflict,256,2.0.0,19/3/21,N/A,,✓
